id_cuenta,id_distrito_creacion,pago_cuota,fecha_creacion_cuente,client_id
A00000374,38,Monthly Issuance,2013-01-09,454
A00002925,1,Monthly Issuance,2013-01-10,3533
A00000866,9,Monthly Issuance,2013-01-10,1044
A00001628,60,Monthly Issuance,2013-01-10,1973
A00002379,44,Monthly Issuance,2013-01-10,2874
A00001979,26,Monthly Issuance,2013-01-11,2404
A00001979,26,Monthly Issuance,2013-01-11,2405
A00000346,37,Monthly Issuance,2013-01-11,423
A00001338,74,Monthly Issuance,2013-01-11,1619
A00001338,74,Monthly Issuance,2013-01-11,1620
A00001909,14,Monthly Issuance,2013-01-12,2319
A00002099,3,Weekly Issuance,2013-01-12,2542
A00002099,3,Weekly Issuance,2013-01-12,2543
A00003760,44,Monthly Issuance,2013-01-13,4536
A00005270,44,Monthly Issuance,2013-01-13,6367
A00001699,53,Monthly Issuance,2013-01-14,2064
A00003909,1,Monthly Issuance,2013-01-14,4715
A00002926,50,Monthly Issuance,2013-01-14,3534
A00001731,33,Monthly Issuance,2013-01-14,2100
A00001731,33,Monthly Issuance,2013-01-14,2101
A00011265,15,Monthly Issuance,2013-01-14,13845
A00002519,4,Monthly Issuance,2013-01-15,3041
A00010364,55,Monthly Issuance,2013-01-17,12754
A00010364,55,Monthly Issuance,2013-01-17,12755
A00001481,15,Monthly Issuance,2013-01-17,1794
A00000401,32,Monthly Issuance,2013-01-18,485
A00004034,1,Monthly Issuance,2013-01-18,4862
A00002330,54,Monthly Issuance,2013-01-19,2818
A00001806,40,Monthly Issuance,2013-01-19,2187
A00001806,40,Monthly Issuance,2013-01-19,2188
A00003834,54,Monthly Issuance,2013-01-19,4620
A00003834,54,Monthly Issuance,2013-01-19,4621
A00001222,66,Monthly Issuance,2013-01-20,1475
A00000212,27,Weekly Issuance,2013-01-20,255
A00000456,49,Monthly Issuance,2013-01-21,548
A00000459,47,Monthly Issuance,2013-01-21,551
A00000772,45,Monthly Issuance,2013-01-21,924
A00001019,52,Monthly Issuance,2013-01-21,1223
A00011295,74,Monthly Issuance,2013-01-21,13886
A00002970,60,Monthly Issuance,2013-01-22,3586
A00002970,60,Monthly Issuance,2013-01-22,3587
A00002676,73,Monthly Issuance,2013-01-22,3231
A00001536,41,Weekly Issuance,2013-01-22,1862
A00001179,74,Monthly Issuance,2013-01-23,1419
A00001179,74,Monthly Issuance,2013-01-23,1420
A00000280,25,Monthly Issuance,2013-01-23,338
A00002425,41,Monthly Issuance,2013-01-23,2930
A00009307,68,Monthly Issuance,2013-01-24,11461
A00004055,23,Monthly Issuance,2013-01-24,4886
A00005065,66,Monthly Issuance,2013-01-24,6114
A00003704,75,Monthly Issuance,2013-01-24,4466
A00000477,1,Monthly Issuance,2013-01-25,574
A00005891,54,Monthly Issuance,2013-01-25,7127
A00001000,77,Monthly Issuance,2013-01-25,1204
A00001750,1,Monthly Issuance,2013-01-26,2122
A00002023,68,Monthly Issuance,2013-01-26,2457
A00002023,68,Monthly Issuance,2013-01-26,2458
A00006473,12,Monthly Issuance,2013-01-26,7815
A00001649,46,Monthly Issuance,2013-01-26,1999
A00002670,13,Monthly Issuance,2013-01-27,3225
A00001127,27,Monthly Issuance,2013-01-27,1353
A00000163,30,Monthly Issuance,2013-01-27,197
A00002566,48,Monthly Issuance,2013-01-27,3097
A00000009,70,Monthly Issuance,2013-01-27,12
A00001144,59,Monthly Issuance,2013-01-28,1375
A00002902,32,Monthly Issuance,2013-01-28,3507
A00004296,63,Monthly Issuance,2013-01-28,5175
A00000443,64,Monthly Issuance,2013-01-28,534
A00003693,61,Monthly Issuance,2013-01-29,4453
A00003693,61,Monthly Issuance,2013-01-29,4454
A00002070,72,Monthly Issuance,2013-01-29,2510
A00001843,12,Monthly Issuance,2013-01-30,2235
A00002714,1,Monthly Issuance,2013-01-30,3276
A00004078,40,Monthly Issuance,2013-01-30,4915
A00001675,36,Monthly Issuance,2013-02-01,2034
A00001675,36,Monthly Issuance,2013-02-01,2035
A00005868,44,Monthly Issuance,2013-02-02,7100
A00001805,1,Monthly Issuance,2013-02-02,2186
A00002434,17,Monthly Issuance,2013-02-02,2940
A00003007,16,Monthly Issuance,2013-02-02,3632
A00002574,68,Monthly Issuance,2013-02-02,3105
A00000862,64,Weekly Issuance,2013-02-02,1039
A00001132,1,Weekly Issuance,2013-02-03,1359
A00001132,1,Weekly Issuance,2013-02-03,1360
A00004484,54,Monthly Issuance,2013-02-03,5409
A00000943,1,Monthly Issuance,2013-02-03,1137
A00003514,7,Monthly Issuance,2013-02-03,4243
A00003983,67,Monthly Issuance,2013-02-04,4803
A00009265,1,Monthly Issuance,2013-02-04,11409
A00000465,32,Monthly Issuance,2013-02-04,559
A00000982,54,Monthly Issuance,2013-02-05,1183
A00000411,70,Monthly Issuance,2013-02-05,496
A00000890,14,Monthly Issuance,2013-02-05,1072
A00000627,63,Monthly Issuance,2013-02-05,754
A00002429,61,Monthly Issuance,2013-02-06,2935
A00003960,64,Monthly Issuance,2013-02-06,4777
A00003960,64,Monthly Issuance,2013-02-06,4778
A00002256,48,Monthly Issuance,2013-02-06,2731
A00008051,1,Weekly Issuance,2013-02-07,9945
A00008051,1,Weekly Issuance,2013-02-07,9946
A00002647,73,Monthly Issuance,2013-02-08,3193
A00002241,6,Monthly Issuance,2013-02-08,2714
A00005622,70,Monthly Issuance,2013-02-08,6789
A00002884,1,Monthly Issuance,2013-02-08,3486
A00001830,10,Monthly Issuance,2013-02-08,2220
A00001830,10,Monthly Issuance,2013-02-08,2221
A00007753,74,Monthly Issuance,2013-02-08,9593
A00000244,24,Monthly Issuance,2013-02-08,295
A00001477,1,Monthly Issuance,2013-02-08,1790
A00004240,50,Monthly Issuance,2013-02-08,5111
A00001006,6,Monthly Issuance,2013-02-08,1210
A00000830,74,Monthly Issuance,2013-02-08,999
A00000830,74,Monthly Issuance,2013-02-08,1000
A00009188,45,Monthly Issuance,2013-02-08,11314
A00001965,57,Issuance After Transaction,2013-02-08,2390
A00001134,6,Monthly Issuance,2013-02-09,1363
A00001601,10,Monthly Issuance,2013-02-09,1941
A00001601,10,Monthly Issuance,2013-02-09,1942
A00002861,38,Monthly Issuance,2013-02-10,3457
A00000813,16,Monthly Issuance,2013-02-10,976
A00002585,75,Monthly Issuance,2013-02-10,3120
A00002220,16,Monthly Issuance,2013-02-10,2689
A00002763,64,Monthly Issuance,2013-02-11,3336
A00002342,51,Monthly Issuance,2013-02-11,2830
A00001944,72,Monthly Issuance,2013-02-12,2363
A00001966,27,Monthly Issuance,2013-02-12,2391
A00001801,46,Monthly Issuance,2013-02-13,2181
A00002543,68,Monthly Issuance,2013-02-13,3070
A00002293,31,Monthly Issuance,2013-02-13,2776
A00011013,1,Weekly Issuance,2013-02-14,13539
A00002423,30,Monthly Issuance,2013-02-14,2928
A00000142,51,Monthly Issuance,2013-02-15,171
A00000142,51,Monthly Issuance,2013-02-15,172
A00003424,74,Monthly Issuance,2013-02-16,4139
A00000539,13,Issuance After Transaction,2013-02-16,649
A00000979,21,Monthly Issuance,2013-02-16,1180
A00003554,66,Monthly Issuance,2013-02-16,4289
A00003545,51,Monthly Issuance,2013-02-17,4279
A00003047,16,Monthly Issuance,2013-02-17,3684
A00003374,21,Monthly Issuance,2013-02-17,4080
A00000096,68,Monthly Issuance,2013-02-18,114
A00000096,68,Monthly Issuance,2013-02-18,115
A00000461,30,Monthly Issuance,2013-02-18,554
A00000461,30,Monthly Issuance,2013-02-18,555
A00003593,1,Monthly Issuance,2013-02-18,4336
A00003026,24,Monthly Issuance,2013-02-18,3655
A00001054,10,Monthly Issuance,2013-02-19,1266
A00002433,71,Monthly Issuance,2013-02-19,2939
A00003691,50,Monthly Issuance,2013-02-19,4451
A00003787,70,Monthly Issuance,2013-02-19,4567
A00000128,2,Monthly Issuance,2013-02-19,153
A00003168,39,Monthly Issuance,2013-02-20,3831
A00003168,39,Monthly Issuance,2013-02-20,3832
A00004937,12,Monthly Issuance,2013-02-20,5965
A00002124,69,Monthly Issuance,2013-02-20,2569
A00002124,69,Monthly Issuance,2013-02-20,2570
A00000322,1,Monthly Issuance,2013-02-20,392
A00000322,1,Monthly Issuance,2013-02-20,393
A00004355,31,Monthly Issuance,2013-02-21,5246
A00001678,1,Monthly Issuance,2013-02-22,2038
A00002396,2,Monthly Issuance,2013-02-22,2893
A00001005,54,Weekly Issuance,2013-02-23,1209
A00000697,28,Monthly Issuance,2013-02-23,835
A00000697,28,Monthly Issuance,2013-02-23,836
A00000925,59,Monthly Issuance,2013-02-23,1114
A00002110,64,Monthly Issuance,2013-02-23,2554
A00001366,60,Monthly Issuance,2013-02-24,1654
A00001050,57,Issuance After Transaction,2013-02-24,1260
A00001050,57,Issuance After Transaction,2013-02-24,1261
A00003117,33,Monthly Issuance,2013-02-24,3770
A00000562,50,Monthly Issuance,2013-02-25,675
A00005369,54,Monthly Issuance,2013-02-25,6481
A00002242,7,Weekly Issuance,2013-02-25,2715
A00000197,1,Monthly Issuance,2013-02-25,239
A00000496,69,Monthly Issuance,2013-02-26,596
A00000002,1,Monthly Issuance,2013-02-26,2
A00000002,1,Monthly Issuance,2013-02-26,3
A00007401,1,Monthly Issuance,2013-02-26,9173
A00007401,1,Monthly Issuance,2013-02-26,9174
A00002486,1,Monthly Issuance,2013-02-27,3001
A00000428,1,Monthly Issuance,2013-02-27,515
A00000428,1,Monthly Issuance,2013-02-27,516
A00003651,23,Monthly Issuance,2013-02-27,4402
A00001775,17,Monthly Issuance,2013-02-27,2152
A00001688,70,Monthly Issuance,2013-02-27,2049
A00001688,70,Monthly Issuance,2013-02-27,2050
A00000361,51,Monthly Issuance,2013-02-27,439
A00001829,43,Monthly Issuance,2013-02-27,2218
A00001829,43,Monthly Issuance,2013-02-27,2219
A00001575,1,Monthly Issuance,2013-02-27,1908
A00009203,70,Monthly Issuance,2013-02-27,11331
A00003008,72,Monthly Issuance,2013-02-27,3633
A00000239,69,Weekly Issuance,2013-03-01,289
A00003302,21,Monthly Issuance,2013-03-02,3994
A00000415,25,Monthly Issuance,2013-03-03,501
A00003513,20,Monthly Issuance,2013-03-03,4241
A00003513,20,Monthly Issuance,2013-03-03,4242
A00004134,7,Monthly Issuance,2013-03-03,4979
A00001077,14,Monthly Issuance,2013-03-03,1292
A00001713,43,Monthly Issuance,2013-03-03,2078
A00001378,59,Monthly Issuance,2013-03-04,1668
A00002503,1,Monthly Issuance,2013-03-05,3021
A00002503,1,Monthly Issuance,2013-03-05,3022
A00000559,46,Monthly Issuance,2013-03-05,672
A00006555,38,Weekly Issuance,2013-03-05,7914
A00000744,42,Monthly Issuance,2013-03-06,892
A00000882,9,Monthly Issuance,2013-03-06,1062
A00000882,9,Monthly Issuance,2013-03-06,1063
A00000086,54,Monthly Issuance,2013-03-07,102
A00000086,54,Monthly Issuance,2013-03-07,103
A00001126,56,Monthly Issuance,2013-03-08,1352
A00002666,49,Monthly Issuance,2013-03-08,3218
A00002666,49,Monthly Issuance,2013-03-08,3219
A00000944,70,Monthly Issuance,2013-03-08,1138
A00000944,70,Monthly Issuance,2013-03-08,1139
A00001545,1,Monthly Issuance,2013-03-08,1874
A00002453,1,Monthly Issuance,2013-03-08,2962
A00002453,1,Monthly Issuance,2013-03-08,2963
A00003734,43,Monthly Issuance,2013-03-08,4506
A00003935,23,Monthly Issuance,2013-03-08,4745
A00000396,21,Monthly Issuance,2013-03-08,478
A00002694,7,Monthly Issuance,2013-03-08,3251
A00002694,7,Monthly Issuance,2013-03-08,3252
A00004596,74,Monthly Issuance,2013-03-09,5539
A00002489,72,Monthly Issuance,2013-03-09,3005
A00002895,19,Monthly Issuance,2013-03-09,3499
A00000317,76,Monthly Issuance,2013-03-10,387
A00002555,53,Monthly Issuance,2013-03-10,3085
A00002555,53,Monthly Issuance,2013-03-10,3086
A00000494,60,Monthly Issuance,2013-03-11,593
A00002219,60,Monthly Issuance,2013-03-11,2688
A00002581,72,Monthly Issuance,2013-03-11,3115
A00000112,6,Monthly Issuance,2013-03-12,134
A00000112,6,Monthly Issuance,2013-03-12,135
A00003674,38,Monthly Issuance,2013-03-12,4428
A00002039,44,Monthly Issuance,2013-03-12,2475
A00002712,9,Monthly Issuance,2013-03-12,3272
A00002712,9,Monthly Issuance,2013-03-12,3273
A00000395,1,Monthly Issuance,2013-03-12,476
A00000395,1,Monthly Issuance,2013-03-12,477
A00002974,9,Monthly Issuance,2013-03-13,3591
A00002974,9,Monthly Issuance,2013-03-13,3592
A00000123,21,Monthly Issuance,2013-03-13,147
A00000123,21,Monthly Issuance,2013-03-13,148
A00009640,1,Monthly Issuance,2013-03-13,11866
A00009640,1,Monthly Issuance,2013-03-13,11867
A00003108,53,Monthly Issuance,2013-03-14,3758
A00003108,53,Monthly Issuance,2013-03-14,3759
A00002508,34,Monthly Issuance,2013-03-14,3028
A00002458,40,Weekly Issuance,2013-03-14,2968
A00000588,66,Monthly Issuance,2013-03-14,706
A00007231,10,Monthly Issuance,2013-03-14,8726
A00006701,49,Weekly Issuance,2013-03-15,8091
A00003883,72,Monthly Issuance,2013-03-15,4680
A00000222,37,Monthly Issuance,2013-03-15,267
A00002497,65,Monthly Issuance,2013-03-16,3015
A00001372,1,Monthly Issuance,2013-03-16,1660
A00003835,50,Monthly Issuance,2013-03-16,4622
A00007445,64,Monthly Issuance,2013-03-18,9226
A00002527,38,Monthly Issuance,2013-03-19,3049
A00002527,38,Monthly Issuance,2013-03-19,3050
A00000425,9,Monthly Issuance,2013-03-19,511
A00000860,1,Monthly Issuance,2013-03-19,1037
A00006034,6,Weekly Issuance,2013-03-19,7291
A00011065,11,Monthly Issuance,2013-03-19,13603
A00009883,1,Monthly Issuance,2013-03-19,12163
A00000115,68,Monthly Issuance,2013-03-19,138
A00001189,59,Monthly Issuance,2013-03-19,1433
A00001189,59,Monthly Issuance,2013-03-19,1434
A00003675,64,Monthly Issuance,2013-03-20,4429
A00003675,64,Monthly Issuance,2013-03-20,4430
A00003069,66,Monthly Issuance,2013-03-20,3711
A00002762,19,Monthly Issuance,2013-03-20,3335
A00000892,70,Monthly Issuance,2013-03-20,1075
A00001535,46,Monthly Issuance,2013-03-20,1861
A00002618,60,Monthly Issuance,2013-03-21,3159
A00002651,2,Monthly Issuance,2013-03-21,3197
A00002651,2,Monthly Issuance,2013-03-21,3198
A00005442,34,Monthly Issuance,2013-03-22,6567
A00001787,30,Weekly Issuance,2013-03-22,2166
A00001397,17,Monthly Issuance,2013-03-22,1691
A00003785,10,Monthly Issuance,2013-03-24,4563
A00003785,10,Monthly Issuance,2013-03-24,4564
A00000623,1,Monthly Issuance,2013-03-24,748
A00000623,1,Monthly Issuance,2013-03-24,749
A00008260,31,Monthly Issuance,2013-03-24,10198
A00008260,31,Monthly Issuance,2013-03-24,10199
A00003678,1,Monthly Issuance,2013-03-24,4433
A00003001,1,Monthly Issuance,2013-03-24,3624
A00000655,53,Monthly Issuance,2013-03-24,786
A00004093,1,Monthly Issuance,2013-03-25,4930
A00003260,68,Monthly Issuance,2013-03-25,3944
A00003260,68,Monthly Issuance,2013-03-25,3945
A00002528,65,Monthly Issuance,2013-03-25,3051
A00002011,75,Monthly Issuance,2013-03-25,2443
A00001721,68,Monthly Issuance,2013-03-25,2087
A00001332,59,Monthly Issuance,2013-03-25,1613
A00001402,74,Monthly Issuance,2013-03-26,1697
A00001402,74,Monthly Issuance,2013-03-26,1698
A00003283,68,Monthly Issuance,2013-03-26,3974
A00003781,31,Monthly Issuance,2013-03-26,4559
A00007203,71,Monthly Issuance,2013-03-26,8692
A00001065,72,Monthly Issuance,2013-03-27,1278
A00003076,54,Monthly Issuance,2013-03-27,3719
A00003076,54,Monthly Issuance,2013-03-27,3720
A00004347,1,Monthly Issuance,2013-03-27,5237
A00001157,7,Monthly Issuance,2013-03-27,1391
A00009403,1,Weekly Issuance,2013-03-27,11574
A00001874,9,Monthly Issuance,2013-03-27,2274
A00001874,9,Monthly Issuance,2013-03-27,2275
A00001115,34,Monthly Issuance,2013-03-27,1337
A00001115,34,Monthly Issuance,2013-03-27,1338
A00003586,59,Monthly Issuance,2013-03-27,4328
A00000062,47,Monthly Issuance,2013-03-28,72
A00001771,69,Monthly Issuance,2013-03-28,2147
A00005483,13,Monthly Issuance,2013-03-28,6619
A00008330,48,Monthly Issuance,2013-03-28,10287
A00008330,48,Monthly Issuance,2013-03-28,10288
A00000187,5,Monthly Issuance,2013-03-28,227
A00000423,12,Monthly Issuance,2013-03-28,509
A00006425,31,Monthly Issuance,2013-03-29,7753
A00002493,62,Monthly Issuance,2013-03-29,3009
A00002493,62,Monthly Issuance,2013-03-29,3010
A00002896,29,Monthly Issuance,2013-03-30,3500
A00002245,29,Monthly Issuance,2013-03-30,2719
A00003923,52,Monthly Issuance,2013-03-30,4731
A00001898,70,Monthly Issuance,2013-04-01,2305
A00001898,70,Monthly Issuance,2013-04-01,2306
A00003367,1,Monthly Issuance,2013-04-01,4071
A00003367,1,Monthly Issuance,2013-04-01,4072
A00003391,74,Monthly Issuance,2013-04-01,4100
A00008519,23,Monthly Issuance,2013-04-02,10510
A00008519,23,Monthly Issuance,2013-04-02,10511
A00001780,1,Monthly Issuance,2013-04-02,2157
A00003915,65,Monthly Issuance,2013-04-02,4721
A00003980,75,Monthly Issuance,2013-04-03,4799
A00003980,75,Monthly Issuance,2013-04-03,4800
A00004350,63,Monthly Issuance,2013-04-04,5241
A00000686,41,Monthly Issuance,2013-04-04,823
A00000362,15,Monthly Issuance,2013-04-04,440
A00000299,77,Monthly Issuance,2013-04-05,364
A00002488,5,Monthly Issuance,2013-04-06,3003
A00002488,5,Monthly Issuance,2013-04-06,3004
A00002985,71,Monthly Issuance,2013-04-06,3605
A00000385,5,Monthly Issuance,2013-04-07,465
A00002817,56,Monthly Issuance,2013-04-07,3404
A00002056,58,Monthly Issuance,2013-04-07,2495
A00002002,1,Monthly Issuance,2013-04-08,2432
A00000748,10,Monthly Issuance,2013-04-08,896
A00000748,10,Monthly Issuance,2013-04-08,897
A00000220,72,Monthly Issuance,2013-04-09,265
A00001422,68,Monthly Issuance,2013-04-09,1724
A00001147,44,Monthly Issuance,2013-04-10,1380
A00003788,70,Monthly Issuance,2013-04-10,4568
A00001891,32,Monthly Issuance,2013-04-10,2294
A00001239,1,Monthly Issuance,2013-04-10,1495
A00008321,77,Monthly Issuance,2013-04-12,10275
A00008321,77,Monthly Issuance,2013-04-12,10276
A00003213,51,Monthly Issuance,2013-04-12,3886
A00002838,3,Weekly Issuance,2013-04-13,3430
A00003644,38,Monthly Issuance,2013-04-13,4394
A00004318,33,Weekly Issuance,2013-04-13,5200
A00004318,33,Weekly Issuance,2013-04-13,5201
A00002648,51,Monthly Issuance,2013-04-13,3194
A00002313,26,Weekly Issuance,2013-04-13,2799
A00005428,24,Monthly Issuance,2013-04-14,6551
A00007123,64,Issuance After Transaction,2013-04-14,8598
A00000279,39,Monthly Issuance,2013-04-14,336
A00000279,39,Monthly Issuance,2013-04-14,337
A00000104,37,Monthly Issuance,2013-04-15,125
A00000104,37,Monthly Issuance,2013-04-15,126
A00000497,55,Monthly Issuance,2013-04-15,597
A00001152,45,Monthly Issuance,2013-04-15,1385
A00001152,45,Monthly Issuance,2013-04-15,1386
A00000083,26,Monthly Issuance,2013-04-16,98
A00000083,26,Monthly Issuance,2013-04-16,99
A00002008,52,Monthly Issuance,2013-04-16,2438
A00002008,52,Monthly Issuance,2013-04-16,2439
A00003327,45,Monthly Issuance,2013-04-16,4021
A00005740,43,Monthly Issuance,2013-04-16,6944
A00008132,5,Weekly Issuance,2013-04-17,10046
A00010738,45,Weekly Issuance,2013-04-17,13201
A00002216,74,Monthly Issuance,2013-04-17,2684
A00001815,66,Monthly Issuance,2013-04-17,2200
A00002823,57,Monthly Issuance,2013-04-18,3412
A00002823,57,Monthly Issuance,2013-04-18,3413
A00004321,47,Monthly Issuance,2013-04-18,5204
A00001773,33,Monthly Issuance,2013-04-19,2149
A00007454,4,Monthly Issuance,2013-04-19,9236
A00000188,54,Monthly Issuance,2013-04-20,228
A00010973,18,Weekly Issuance,2013-04-20,13490
A00002599,48,Monthly Issuance,2013-04-20,3135
A00001166,11,Monthly Issuance,2013-04-21,1404
A00000504,73,Monthly Issuance,2013-04-21,606
A00001518,67,Monthly Issuance,2013-04-21,1841
A00002189,75,Monthly Issuance,2013-04-22,2650
A00002189,75,Monthly Issuance,2013-04-22,2651
A00006040,1,Monthly Issuance,2013-04-22,7299
A00002876,52,Monthly Issuance,2013-04-22,3476
A00001505,69,Monthly Issuance,2013-04-23,1824
A00006897,48,Monthly Issuance,2013-04-23,8327
A00004377,28,Monthly Issuance,2013-04-24,5275
A00000717,75,Monthly Issuance,2013-04-24,859
A00000717,75,Monthly Issuance,2013-04-24,860
A00009707,70,Monthly Issuance,2013-04-24,11947
A00002814,72,Monthly Issuance,2013-04-25,3399
A00003068,59,Monthly Issuance,2013-04-25,3710
A00001476,61,Monthly Issuance,2013-04-26,1789
A00000897,38,Monthly Issuance,2013-04-26,1080
A00000977,1,Monthly Issuance,2013-04-26,1178
A00002639,17,Monthly Issuance,2013-04-26,3185
A00001032,11,Monthly Issuance,2013-04-26,1239
A00000928,20,Monthly Issuance,2013-04-26,1117
A00000928,20,Monthly Issuance,2013-04-26,1118
A00000168,31,Monthly Issuance,2013-04-27,203
A00000168,31,Monthly Issuance,2013-04-27,204
A00002175,1,Monthly Issuance,2013-04-27,2633
A00010105,55,Monthly Issuance,2013-04-28,12432
A00001392,60,Monthly Issuance,2013-04-28,1685
A00003697,45,Monthly Issuance,2013-04-29,4458
A00005313,40,Monthly Issuance,2013-04-29,6417
A00002222,47,Monthly Issuance,2013-05-01,2691
A00002641,7,Monthly Issuance,2013-05-02,3187
A00005423,15,Monthly Issuance,2013-05-02,6546
A00002609,73,Monthly Issuance,2013-05-03,3148
A00002609,73,Monthly Issuance,2013-05-03,3149
A00005472,1,Monthly Issuance,2013-05-04,6604
A00002932,72,Monthly Issuance,2013-05-04,3540
A00002932,72,Monthly Issuance,2013-05-04,3541
A00004254,70,Monthly Issuance,2013-05-04,5127
A00003965,31,Monthly Issuance,2013-05-04,4783
A00010656,8,Monthly Issuance,2013-05-05,13102
A00000887,1,Monthly Issuance,2013-05-05,1068
A00004743,64,Monthly Issuance,2013-05-05,5722
A00001048,35,Monthly Issuance,2013-05-05,1257
A00001048,35,Monthly Issuance,2013-05-05,1258
A00001671,6,Monthly Issuance,2013-05-05,2029
A00001236,19,Monthly Issuance,2013-05-05,1491
A00001822,30,Monthly Issuance,2013-05-05,2209
A00001822,30,Monthly Issuance,2013-05-05,2210
A00003316,28,Monthly Issuance,2013-05-06,4009
A00002037,20,Monthly Issuance,2013-05-06,2473
A00010079,62,Monthly Issuance,2013-05-06,12396
A00010079,62,Monthly Issuance,2013-05-06,12397
A00003999,35,Monthly Issuance,2013-05-06,4821
A00003999,35,Monthly Issuance,2013-05-06,4822
A00000551,77,Monthly Issuance,2013-05-07,664
A00001200,33,Monthly Issuance,2013-05-07,1449
A00001161,66,Monthly Issuance,2013-05-08,1397
A00005372,48,Monthly Issuance,2013-05-08,6485
A00003050,60,Monthly Issuance,2013-05-08,3687
A00003050,60,Monthly Issuance,2013-05-08,3688
A00001784,59,Monthly Issuance,2013-05-08,2161
A00001784,59,Monthly Issuance,2013-05-08,2162
A00001603,1,Monthly Issuance,2013-05-09,1944
A00001887,68,Monthly Issuance,2013-05-09,2290
A00001644,1,Monthly Issuance,2013-05-09,1993
A00001644,1,Monthly Issuance,2013-05-09,1994
A00001658,73,Monthly Issuance,2013-05-10,2010
A00000044,32,Monthly Issuance,2013-05-10,52
A00001039,70,Weekly Issuance,2013-05-10,1246
A00001039,70,Weekly Issuance,2013-05-10,1247
A00001071,68,Weekly Issuance,2013-05-10,1286
A00002410,54,Monthly Issuance,2013-05-11,2911
A00002410,54,Monthly Issuance,2013-05-11,2912
A00002523,10,Monthly Issuance,2013-05-11,3045
A00000790,54,Monthly Issuance,2013-05-11,946
A00002583,62,Monthly Issuance,2013-05-11,3117
A00002583,62,Monthly Issuance,2013-05-11,3118
A00001782,8,Monthly Issuance,2013-05-12,2159
A00000751,3,Monthly Issuance,2013-05-12,901
A00002061,24,Monthly Issuance,2013-05-12,2500
A00008261,13,Monthly Issuance,2013-05-12,10200
A00008261,13,Monthly Issuance,2013-05-12,10201
A00002321,35,Monthly Issuance,2013-05-13,2808
A00001334,74,Monthly Issuance,2013-05-14,1615
A00003649,54,Monthly Issuance,2013-05-14,4400
A00000555,24,Monthly Issuance,2013-05-15,668
A00003173,39,Monthly Issuance,2013-05-15,3837
A00000863,71,Monthly Issuance,2013-05-16,1040
A00003181,42,Monthly Issuance,2013-05-16,3846
A00003210,1,Monthly Issuance,2013-05-17,3883
A00000489,16,Monthly Issuance,2013-05-17,588
A00000947,59,Monthly Issuance,2013-05-17,1142
A00000947,59,Monthly Issuance,2013-05-17,1143
A00003284,64,Monthly Issuance,2013-05-17,3975
A00001610,52,Monthly Issuance,2013-05-17,1952
A00001610,52,Monthly Issuance,2013-05-17,1953
A00004225,55,Monthly Issuance,2013-05-18,5093
A00001412,64,Monthly Issuance,2013-05-18,1711
A00001412,64,Monthly Issuance,2013-05-18,1712
A00001937,36,Monthly Issuance,2013-05-18,2353
A00000991,39,Monthly Issuance,2013-05-18,1195
A00001180,20,Monthly Issuance,2013-05-19,1421
A00002758,70,Monthly Issuance,2013-05-19,3331
A00002711,58,Monthly Issuance,2013-05-19,3271
A00001652,74,Monthly Issuance,2013-05-20,2002
